Code	Gallic acid	3-Hydroxytyrosol	Vanillic acid	Epicatechin	Rosmarinic acid	4-Hydroxybenzoic acid	Chlorogenic acid	Caffeic acid	Syringic acid	p-Coumaric acid	Resveratrol	Salicylic acid	Quercetin 3-glucoside	Myricetin	Quercetin dihydrate	5,7-Dimethoxycoumarin	Genistein	Kaempferol	Caffeic acid 1,1-dMAE	Chrysin	Caffeic acid PhEE	Year	Spec	Kind
Foevul1-20		151755	92445	795825	141615	456225	25425	41625	65.07	54735	63225	4788.69	13815	357.54	46395	55155	59.64	12885	2.97	1215	56.46	2020	F. vulgare	Arom
Foevul2-20		235035	219.0	1189.17	149415	421695	146.19	98.61	81015	67545	105.21	6715365	23505	377.25	245955	186525	95.43	53.34	9405	2.49	29745	2020	F. vulgare	Arom
Foevul3-20		145065	115.62	495.9	77505	299.37	87.24	52065	47.52	52.74	102555	1958.04	337875	195675	108405	108.99	90975	35.88	7.41	4935	28125	2020	F. vulgare	Arom
Orivul1-20	410.16	541005	297.78	478665	40995	333315	308925	134085	51915	111.24	2483.49	453.63	2602695	103515	641085	2434.02	362565	205.74	41205	12405	84735	2020	O. vulgare	Arom
Orivul2-20	220665	422.34	214.83	261885	1054.59	213705	168075	96735	134.37	52.68	1505055	3379065	4576.8	2662.59	419625	975.99	436125	168.27	691605	19215	48915	2020	O. vulgare	Arom
Orivul3-20	180.45	298.35	555405	284.49	678825	188325	213.18	250.08	191.25	30945	1573.38	2374755	3417.48	1713885	390.96	785355	362625	324.48	849.81	25.26	48.6	2020	O. vulgare	Arom
Thyvul1-20	27.99	74475	189.18	164.55	437.91	461715	154155	85185	801.69	153.39	88.38	249.72	906.81	1105.62	515115	3700575	552.87	250.89	176475	56925	279.75	2020	T. vulgare	Arom
Thyvul2-20	234.51	58215	79.26	129.78	505935	552.45	73.74	34455	200.61	161.46	1632.3	29.73	1986135	1277355	287715	2249.73	218.91	569.67	241605	61905	510255	2020	T. vulgare	Arom
Thyvul3-20	18.99	100605	349065	289.83	1515465	283.35	153555	157.17	74685	90945	171.3	909855	1183.02	3826.17	498.96	1007565	406755	457.35	327435	56.91	702.24	2020	T. vulgare	Arom
Valoff1-20	120195	896.49	81.18	678.51	222615	248.67	303.6	36555	59145	41085	81.9	516435	1189.65	562.05	371745	1004145	536.79	80.1	25.65	30.87	14175	2020	V. officinalis	Arom
Valoff2-20		902.94	30.57	663735	120.75	99525	137.16	13.77	22155	19.2	61305	129.06	325185	304875	269.94	213945	34335	47925	29565	11.04	16995	2020	V. officinalis	Arom
