,Code,Location,Species,FRAP,Phenolics,Flavonoids,Tmin,Tmax,Tmed,Prec,Elevation
0,Foevul1-20,Filiano,Foeniculum vulgaris,0.26,3.55,2.88,16.7,28.623076923076926,22.661538461538463,493.0999999999999,522
1,Foevul2-20,Tricarico,Foeniculum vulgaris,0.75,8.08,4.98,4.481318681318682,10.505494505494507,7.493406593406595,96.80000000000001,316
2,Foevul3-20,San Mauro Forte,Foeniculum vulgaris,0.58,6.18,3.7,18.073626373626364,29.420879120879132,23.747252747252748,449.4999999999999,441
3,Orivul1-20,Filiano,Origanum vulgaris,1.64,11.15,3.64,15.518681318681322,26.3989010989011,20.95879120879121,564.0999999999999,522
4,Orivul2-20,Tricarico,Origanum vulgaris,2.19,17.32,3.97,18.08901098901099,28.55164835164834,23.320329670329663,393.00000000000006,316
5,Orivul3-20,San Mauro Forte,Origanum vulgaris,2.13,16.8,4.03,16.37692307692307,27.516483516483518,21.946703296703294,282.99999999999994,441
6,Thyvul1-20,Filiano,Thymus vulgaris,2.08,13.99,6.04,13.563736263736265,23.979120879120877,18.771428571428572,380.8999999999999,682
7,Thyvul2-20,Tricarico,Thymus vulgaris,1.14,8.69,3.57,13.674725274725281,23.1065934065934,18.39065934065934,284.29999999999995,316
8,Thyvul3-20,San Mauro Forte,Thymus vulgaris,1.9,13.08,3.43,9.15384615384615,18.527472527472522,13.840659340659336,228.19999999999996,441
9,Valoff1-20,Filiano,Valeriana officinalis,0.63,7.53,3.11,6.86153846153846,16.005494505494507,11.433516483516485,253.7,702
10,Valoff2-20,Tricarico,Valeriana officinalis,0.22,3.79,0.96,7.770329670329672,16.75054945054944,12.260439560439556,221.09999999999997,316
11,Valoff3-20,San Mauro Forte,Valeriana officinalis,0.25,3.72,1.88,9.15384615384615,18.527472527472522,13.840659340659336,228.19999999999996,441
12,Pruavi1-20,Filiano,Prunus avium,0.08,0.93,0.17,16.327472527472523,27.6043956043956,21.96593406593406,502.19999999999993,494
13,Pruavi2-20,Tricarico,Prunus avium,0.24,3.2,0.5,9.20879120879121,18.289010989010986,13.748901098901097,279.59999999999997,316
14,Pruavi3-20,San Mauro Forte,Prunus avium,0.21,2.75,0.5,9.309890109890103,18.68461538461538,13.997252747252741,242.0,441
15,Ficcar1-20,Filiano,Ficus carica,0.05,0.79,0.2,15.75934065934066,26.70219780219781,21.230769230769234,555.3,522
16,Ficcar2-20,Tricarico,Ficus carica,0.04,0.91,0.1,8.919780219780218,17.947252747252744,13.433516483516481,273.0,316
