,Comune,Giorno,Tmin,Tmax,Prec,Tipo_Prec,Misura_Prec
458,Accettura,2021-01-01,2.6,9.2,0.0,pioggia,mm
459,Accettura,2021-01-02,3.6,8.1,7.2,pioggia,mm
460,Accettura,2021-01-03,3.5,9.0,3.4,pioggia,mm
461,Accettura,2021-01-04,2.6,7.5,0.7,pioggia,mm
462,Accettura,2021-01-05,2.3,7.6,0.5,pioggia,mm
463,Accettura,2021-01-06,3.8,8.3,6.0,pioggia,mm
464,Accettura,2021-01-07,3.9,9.2,6.4,pioggia,mm
465,Accettura,2021-01-08,3.9,11.6,11.6,pioggia,mm
466,Accettura,2021-01-09,3.2,5.0,16.1,pioggia,mm
467,Accettura,2021-01-10,3.2,9.1,37.8,pioggia,mm
468,Accettura,2021-01-11,2.6,6.2,0.7,pioggia,mm
469,Accettura,2021-01-12,1.4,5.0,0.0,pioggia,mm
470,Accettura,2021-01-13,1.9,8.2,0.0,pioggia,mm
471,Accettura,2021-01-14,1.4,9.0,1.4,pioggia,mm
472,Accettura,2021-01-15,-1.8,4.4,5.3,neve,cm
473,Accettura,2021-01-16,-2.9,1.3,1.0,neve,cm
474,Accettura,2021-01-17,-2.9,3.5,3.7,neve,cm
475,Accettura,2021-01-18,-1.9,1.0,0.6,neve,cm
476,Accettura,2021-01-19,-0.8,5.3,0.0,pioggia,mm
477,Accettura,2021-01-20,2.3,8.4,0.0,pioggia,mm
478,Accettura,2021-01-21,3.1,10.0,0.9,pioggia,mm
479,Accettura,2021-01-22,7.0,10.3,0.0,pioggia,mm
480,Accettura,2021-01-23,3.7,8.7,8.4,pioggia,mm
481,Accettura,2021-01-24,4.4,7.4,6.9,pioggia,mm
482,Accettura,2021-01-25,2.2,7.6,5.1,pioggia,mm
483,Accettura,2021-01-26,-0.7,7.3,2.0,neve,cm
484,Accettura,2021-01-27,-1.7,3.2,0.0,pioggia,mm
485,Accettura,2021-01-28,0.1,7.5,0.0,pioggia,mm
486,Accettura,2021-01-29,4.0,12.4,0.0,pioggia,mm
487,Accettura,2021-01-30,6.6,11.6,0.0,pioggia,mm
488,Accettura,2021-01-31,4.5,9.0,10.6,pioggia,mm
489,Accettura,2021-02-01,4.1,11.0,5.7,pioggia,mm
490,Accettura,2021-02-02,4.9,9.4,8.6,pioggia,mm
491,Accettura,2021-02-03,5.2,13.8,0.0,pioggia,mm
492,Accettura,2021-02-04,6.5,16.6,0.0,pioggia,mm
493,Accettura,2021-02-05,9.1,15.9,0.0,pioggia,mm
494,Accettura,2021-02-06,9.0,18.1,0.0,pioggia,mm
495,Accettura,2021-02-07,8.3,18.0,3.2,pioggia,mm
