,Comune,Giorno,Tmin,Tmax,Prec,Tipo_Prec,Misura_Prec
1220,Calvello,2021-01-01,2.6,9.2,0.3,pioggia,mm
1221,Calvello,2021-01-02,1.8,9.4,7.9,pioggia,mm
1222,Calvello,2021-01-03,3.4,9.3,9.7,pioggia,mm
1223,Calvello,2021-01-04,2.0,8.3,4.5,pioggia,mm
1224,Calvello,2021-01-05,2.7,7.2,3.1,pioggia,mm
1225,Calvello,2021-01-06,2.6,8.2,20.4,pioggia,mm
1226,Calvello,2021-01-07,4.0,8.4,7.4,pioggia,mm
1227,Calvello,2021-01-08,3.9,11.2,8.3,pioggia,mm
1228,Calvello,2021-01-09,3.1,6.1,14.1,pioggia,mm
1229,Calvello,2021-01-10,3.8,8.7,31.1,pioggia,mm
1230,Calvello,2021-01-11,2.6,6.8,3.0,pioggia,mm
1231,Calvello,2021-01-12,1.4,5.4,0.0,pioggia,mm
1232,Calvello,2021-01-13,1.8,8.7,0.0,pioggia,mm
1233,Calvello,2021-01-14,0.9,8.5,0.0,pioggia,mm
1234,Calvello,2021-01-15,-2.6,4.6,2.4,neve,cm
1235,Calvello,2021-01-16,-2.5,1.6,1.3,neve,cm
1236,Calvello,2021-01-17,-1.7,2.6,2.1,neve,cm
1237,Calvello,2021-01-18,-2.7,1.7,2.4,neve,cm
1238,Calvello,2021-01-19,-1.3,6.4,0.0,pioggia,mm
1239,Calvello,2021-01-20,2.7,9.2,0.0,pioggia,mm
1240,Calvello,2021-01-21,4.2,11.7,2.4,pioggia,mm
1241,Calvello,2021-01-22,6.6,9.7,0.0,pioggia,mm
1242,Calvello,2021-01-23,3.4,8.9,14.1,pioggia,mm
1243,Calvello,2021-01-24,4.1,7.3,21.3,pioggia,mm
1244,Calvello,2021-01-25,2.8,7.4,8.9,pioggia,mm
1245,Calvello,2021-01-26,-0.7,6.1,2.0,neve,cm
1246,Calvello,2021-01-27,-1.0,4.1,1.6,neve,cm
1247,Calvello,2021-01-28,0.9,9.2,0.0,pioggia,mm
1248,Calvello,2021-01-29,3.9,11.0,0.5,pioggia,mm
1249,Calvello,2021-01-30,6.5,11.3,0.0,pioggia,mm
1250,Calvello,2021-01-31,4.2,8.6,15.7,pioggia,mm
1251,Calvello,2021-02-01,5.1,11.0,5.1,pioggia,mm
1252,Calvello,2021-02-02,4.4,10.2,5.7,pioggia,mm
1253,Calvello,2021-02-03,5.9,15.2,0.0,pioggia,mm
1254,Calvello,2021-02-04,10.0,18.4,0.0,pioggia,mm
1255,Calvello,2021-02-05,9.5,19.1,0.0,pioggia,mm
1256,Calvello,2021-02-06,11.4,21.4,0.0,pioggia,mm
1257,Calvello,2021-02-07,7.7,18.0,12.4,pioggia,mm
1258,Calvello,2021-02-08,5.4,9.7,10.8,pioggia,mm
1259,Calvello,2021-02-09,5.6,8.8,14.8,pioggia,mm
1260,Calvello,2021-02-10,4.6,13.0,30.5,pioggia,mm
1261,Calvello,2021-02-11,4.6,12.5,9.6,pioggia,mm
1262,Calvello,2021-02-12,0.8,4.3,0.0,pioggia,mm
1263,Calvello,2021-02-13,-3.0,1.4,15.2,neve,cm
1264,Calvello,2021-02-14,-6.9,-2.2,5.4,neve,cm
1265,Calvello,2021-02-15,-5.8,-1.0,13.9,neve,cm
1266,Calvello,2021-02-16,-3.6,7.4,0.0,pioggia,mm
1267,Calvello,2021-02-17,0.5,7.7,0.0,pioggia,mm
1268,Calvello,2021-02-18,2.6,11.2,0.0,pioggia,mm
1269,Calvello,2021-02-19,4.1,13.4,0.0,pioggia,mm
1270,Calvello,2021-02-20,4.5,14.5,0.0,pioggia,mm
1271,Calvello,2021-02-21,2.7,12.7,0.0,pioggia,mm
1272,Calvello,2021-02-22,3.6,13.9,0.0,pioggia,mm
1273,Calvello,2021-02-23,4.3,14.9,0.0,pioggia,mm
1274,Calvello,2021-02-24,5.5,16.8,0.0,pioggia,mm
1275,Calvello,2021-02-25,5.7,17.7,0.0,pioggia,mm
1276,Calvello,2021-02-26,6.4,19.0,0.0,pioggia,mm
1277,Calvello,2021-02-27,4.8,17.9,0.0,pioggia,mm
1278,Calvello,2021-02-28,2.8,10.7,0.0,pioggia,mm
1279,Calvello,2021-03-01,0.5,11.2,0.0,pioggia,mm
1280,Calvello,2021-03-02,1.9,13.2,0.0,pioggia,mm
1281,Calvello,2021-03-03,3.2,15.9,0.0,pioggia,mm
1282,Calvello,2021-03-04,2.8,16.2,0.0,pioggia,mm
1283,Calvello,2021-03-05,1.3,15.3,0.0,pioggia,mm
1284,Calvello,2021-03-06,2.2,13.4,0.5,pioggia,mm
1285,Calvello,2021-03-07,2.5,10.1,1.7,pioggia,mm
1286,Calvello,2021-03-08,3.5,12.8,4.8,pioggia,mm
1287,Calvello,2021-03-09,4.0,11.9,19.6,pioggia,mm
1288,Calvello,2021-03-10,2.7,6.7,22.0,pioggia,mm
1289,Calvello,2021-03-11,1.2,12.6,0.0,pioggia,mm
1290,Calvello,2021-03-12,4.8,15.3,0.0,pioggia,mm
1291,Calvello,2021-03-13,2.9,16.1,0.0,pioggia,mm
1292,Calvello,2021-03-14,4.3,14.1,3.8,pioggia,mm
1293,Calvello,2021-03-15,1.6,8.6,5.2,neve,cm
1294,Calvello,2021-03-16,3.0,9.4,1.4,pioggia,mm
1295,Calvello,2021-03-17,1.7,9.2,3.7,neve,cm
1296,Calvello,2021-03-18,-0.8,7.3,1.7,pioggia,mm
1297,Calvello,2021-03-19,-1.8,4.7,5.1,neve,cm
1298,Calvello,2021-03-20,0.4,2.4,14.5,neve,cm
1299,Calvello,2021-03-21,-0.6,3.7,5.1,neve,cm
1300,Calvello,2021-03-22,-1.4,4.6,1.3,neve,cm
1301,Calvello,2021-03-23,-1.3,2.3,6.9,neve,cm
1302,Calvello,2021-03-24,-0.7,7.3,0.0,pioggia,mm
1303,Calvello,2021-03-25,1.5,9.9,0.0,pioggia,mm
1304,Calvello,2021-03-26,3.3,15.1,0.0,pioggia,mm
1305,Calvello,2021-03-27,4.8,16.6,0.0,pioggia,mm
1306,Calvello,2021-03-28,6.0,17.1,0.0,pioggia,mm
1307,Calvello,2021-03-29,6.9,16.8,0.0,pioggia,mm
1308,Calvello,2021-03-30,4.5,16.7,0.0,pioggia,mm
1309,Calvello,2021-03-31,4.4,16.4,0.0,pioggia,mm
1310,Calvello,2021-04-01,6.1,19.7,0.0,pioggia,mm
1311,Calvello,2021-04-02,9.1,19.8,1.5,pioggia,mm
1312,Calvello,2021-04-03,7.9,20.0,4.3,pioggia,mm
1313,Calvello,2021-04-04,1.1,9.5,1.9,pioggia,mm
1314,Calvello,2021-04-05,-1.6,13.9,0.0,pioggia,mm
1315,Calvello,2021-04-06,1.8,14.4,0.0,pioggia,mm
1316,Calvello,2021-04-07,0.4,10.8,5.4,neve,cm
1317,Calvello,2021-04-08,0.3,9.4,3.0,neve,cm
1318,Calvello,2021-04-09,0.1,13.3,0.0,pioggia,mm
1319,Calvello,2021-04-10,3.2,15.8,0.0,pioggia,mm
1320,Calvello,2021-04-11,5.8,19.8,1.0,pioggia,mm
1321,Calvello,2021-04-12,7.5,18.6,5.8,pioggia,mm
1322,Calvello,2021-04-13,4.0,15.1,8.4,pioggia,mm
1323,Calvello,2021-04-14,2.5,7.6,0.0,pioggia,mm
1324,Calvello,2021-04-15,-0.4,8.7,0.0,pioggia,mm
1325,Calvello,2021-04-16,2.0,6.8,9.7,pioggia,mm
1326,Calvello,2021-04-17,0.5,10.3,0.3,pioggia,mm
1327,Calvello,2021-04-18,4.0,13.0,6.7,pioggia,mm
1328,Calvello,2021-04-19,2.6,8.8,7.6,pioggia,mm
1329,Calvello,2021-04-20,2.7,11.7,2.9,pioggia,mm
1330,Calvello,2021-04-21,4.7,15.4,0.0,pioggia,mm
1331,Calvello,2021-04-22,6.1,11.4,12.4,pioggia,mm
1332,Calvello,2021-04-23,8.0,11.2,16.4,pioggia,mm
1333,Calvello,2021-04-24,5.8,13.5,8.4,pioggia,mm
1334,Calvello,2021-04-25,4.4,18.7,0.0,pioggia,mm
1335,Calvello,2021-04-26,7.1,19.9,1.0,pioggia,mm
1336,Calvello,2021-04-27,10.8,22.1,0.0,pioggia,mm
1337,Calvello,2021-04-28,9.1,25.1,0.0,pioggia,mm
1338,Calvello,2021-04-29,10.2,24.1,2.3,pioggia,mm
1339,Calvello,2021-04-30,13.0,27.0,0.0,pioggia,mm
1340,Calvello,2021-05-01,14.3,23.4,3.1,pioggia,mm
1341,Calvello,2021-05-02,11.7,22.2,0.0,pioggia,mm
1342,Calvello,2021-05-03,7.4,22.1,0.0,pioggia,mm
1343,Calvello,2021-05-04,6.5,22.5,1.9,pioggia,mm
1344,Calvello,2021-05-05,10.7,17.6,0.0,pioggia,mm
1345,Calvello,2021-05-06,7.7,22.3,0.0,pioggia,mm
1346,Calvello,2021-05-07,10.7,23.0,0.0,pioggia,mm
1347,Calvello,2021-05-08,9.8,22.3,0.0,pioggia,mm
1348,Calvello,2021-05-09,9.3,21.6,0.0,pioggia,mm
1349,Calvello,2021-05-10,11.1,24.5,0.0,pioggia,mm
1350,Calvello,2021-05-11,12.5,24.5,1.5,pioggia,mm
1351,Calvello,2021-05-12,9.4,19.5,0.0,pioggia,mm
1352,Calvello,2021-05-13,7.8,16.6,0.0,pioggia,mm
1353,Calvello,2021-05-14,9.1,19.8,2.3,pioggia,mm
1354,Calvello,2021-05-15,7.6,16.3,7.6,pioggia,mm
1355,Calvello,2021-05-16,9.5,21.9,0.0,pioggia,mm
1356,Calvello,2021-05-17,13.0,25.3,0.0,pioggia,mm
1357,Calvello,2021-05-18,10.1,24.0,0.0,pioggia,mm
1358,Calvello,2021-05-19,10.0,22.7,0.0,pioggia,mm
1359,Calvello,2021-05-20,6.7,15.8,4.5,pioggia,mm
1360,Calvello,2021-05-21,7.7,22.0,0.0,pioggia,mm
1361,Calvello,2021-05-22,10.7,25.7,0.0,pioggia,mm
1362,Calvello,2021-05-23,14.8,32.2,0.0,pioggia,mm
1363,Calvello,2021-05-24,16.6,33.4,0.0,pioggia,mm
1364,Calvello,2021-05-25,13.6,27.3,0.0,pioggia,mm
1365,Calvello,2021-05-26,9.4,22.7,0.0,pioggia,mm
1366,Calvello,2021-05-27,9.4,23.2,0.5,pioggia,mm
1367,Calvello,2021-05-28,10.7,25.0,0.0,pioggia,mm
1368,Calvello,2021-05-29,9.2,23.8,0.7,pioggia,mm
1369,Calvello,2021-05-30,9.5,19.7,5.4,pioggia,mm
1370,Calvello,2021-05-31,6.5,19.5,0.0,pioggia,mm
1371,Calvello,2021-06-01,7.2,22.1,0.0,pioggia,mm
1372,Calvello,2021-06-02,9.1,23.4,0.0,pioggia,mm
1373,Calvello,2021-06-03,9.6,26.0,0.0,pioggia,mm
1374,Calvello,2021-06-04,12.2,27.0,0.0,pioggia,mm
1375,Calvello,2021-06-05,12.7,28.7,0.0,pioggia,mm
1376,Calvello,2021-06-06,11.7,27.6,1.8,pioggia,mm
1377,Calvello,2021-06-07,15.0,22.7,12.2,pioggia,mm
1378,Calvello,2021-06-08,12.5,20.5,49.9,pioggia,mm
1379,Calvello,2021-06-09,13.2,23.9,32.0,pioggia,mm
1380,Calvello,2021-06-10,12.8,25.0,6.4,pioggia,mm
1381,Calvello,2021-06-11,13.7,24.6,11.2,pioggia,mm
1382,Calvello,2021-06-12,14.4,23.9,12.0,pioggia,mm
1383,Calvello,2021-06-13,12.8,26.1,0.0,pioggia,mm
1384,Calvello,2021-06-14,13.6,22.8,0.8,pioggia,mm
1385,Calvello,2021-06-15,10.2,23.4,0.0,pioggia,mm
1386,Calvello,2021-06-16,12.6,26.6,0.0,pioggia,mm
1387,Calvello,2021-06-17,15.5,27.8,0.0,pioggia,mm
1388,Calvello,2021-06-18,13.5,27.9,8.2,pioggia,mm
1389,Calvello,2021-06-19,17.3,30.5,0.0,pioggia,mm
1390,Calvello,2021-06-20,16.5,33.6,0.0,pioggia,mm
1391,Calvello,2021-06-21,21.6,35.2,0.0,pioggia,mm
1392,Calvello,2021-06-22,23.5,36.4,0.0,pioggia,mm
1393,Calvello,2021-06-23,20.3,35.4,0.0,pioggia,mm
1394,Calvello,2021-06-24,21.1,37.8,2.1,pioggia,mm
1395,Calvello,2021-06-25,24.8,33.3,0.3,pioggia,mm
1396,Calvello,2021-06-26,21.3,31.3,0.0,pioggia,mm
1397,Calvello,2021-06-27,18.9,30.7,0.0,pioggia,mm
1398,Calvello,2021-06-28,21.0,33.0,0.0,pioggia,mm
1399,Calvello,2021-06-29,22.2,35.5,0.0,pioggia,mm
1400,Calvello,2021-06-30,23.4,34.3,0.0,pioggia,mm
1401,Calvello,2021-07-01,18.4,29.0,0.0,pioggia,mm
1402,Calvello,2021-07-02,15.0,27.3,0.0,pioggia,mm
1403,Calvello,2021-07-03,16.7,28.1,0.0,pioggia,mm
1404,Calvello,2021-07-04,18.1,31.0,0.0,pioggia,mm
1405,Calvello,2021-07-05,18.8,28.4,0.0,pioggia,mm
1406,Calvello,2021-07-06,17.9,31.7,0.0,pioggia,mm
1407,Calvello,2021-07-07,21.6,34.1,0.0,pioggia,mm
1408,Calvello,2021-07-08,22.8,35.6,0.0,pioggia,mm
1409,Calvello,2021-07-09,21.1,33.7,0.0,pioggia,mm
1410,Calvello,2021-07-10,20.1,31.5,0.0,pioggia,mm
1411,Calvello,2021-07-11,16.9,30.1,0.0,pioggia,mm
1412,Calvello,2021-07-12,17.6,32.8,0.0,pioggia,mm
1413,Calvello,2021-07-13,19.1,35.7,0.0,pioggia,mm
1414,Calvello,2021-07-14,20.9,32.2,0.0,pioggia,mm
1415,Calvello,2021-07-15,13.2,29.8,0.0,pioggia,mm
1416,Calvello,2021-07-16,10.7,29.8,0.0,pioggia,mm
1417,Calvello,2021-07-17,13.6,23.3,25.1,pioggia,mm
1418,Calvello,2021-07-18,14.6,23.3,9.3,pioggia,mm
1419,Calvello,2021-07-19,15.8,23.7,4.7,pioggia,mm
1420,Calvello,2021-07-20,16.9,26.3,0.0,pioggia,mm
1421,Calvello,2021-07-21,18.2,28.3,0.0,pioggia,mm
1422,Calvello,2021-07-22,20.4,28.6,0.0,pioggia,mm
