,Comune,Giorno,Tmin,Tmax,Prec,Tipo_Prec,Misura_Prec
1982,Cirigliano,2021-01-01,2.9,9.7,0.0,pioggia,mm
1983,Cirigliano,2021-01-02,3.9,8.8,11.5,pioggia,mm
1984,Cirigliano,2021-01-03,4.2,9.6,4.2,pioggia,mm
1985,Cirigliano,2021-01-04,3.0,8.2,1.0,pioggia,mm
1986,Cirigliano,2021-01-05,2.8,8.2,0.0,pioggia,mm
1987,Cirigliano,2021-01-06,4.4,9.3,6.6,pioggia,mm
1988,Cirigliano,2021-01-07,4.8,9.5,6.2,pioggia,mm
1989,Cirigliano,2021-01-08,5.3,11.8,11.6,pioggia,mm
1990,Cirigliano,2021-01-09,4.7,5.8,14.6,pioggia,mm
1991,Cirigliano,2021-01-10,4.8,10.2,32.7,pioggia,mm
1992,Cirigliano,2021-01-11,4.1,8.7,1.2,pioggia,mm
1993,Cirigliano,2021-01-12,1.9,5.7,0.0,pioggia,mm
1994,Cirigliano,2021-01-13,2.8,9.1,0.0,pioggia,mm
1995,Cirigliano,2021-01-14,1.9,9.7,1.4,pioggia,mm
1996,Cirigliano,2021-01-15,-1.3,5.7,6.2,neve,cm
1997,Cirigliano,2021-01-16,-2.1,2.2,0.0,pioggia,mm
1998,Cirigliano,2021-01-17,-2.3,3.7,3.7,neve,cm
1999,Cirigliano,2021-01-18,-1.6,2.0,0.6,neve,cm
2000,Cirigliano,2021-01-19,-0.4,6.1,0.0,pioggia,mm
2001,Cirigliano,2021-01-20,2.8,8.9,0.0,pioggia,mm
2002,Cirigliano,2021-01-21,3.6,9.6,0.6,pioggia,mm
2003,Cirigliano,2021-01-22,7.4,11.4,0.0,pioggia,mm
2004,Cirigliano,2021-01-23,4.0,9.5,7.1,pioggia,mm
2005,Cirigliano,2021-01-24,4.8,7.6,7.0,pioggia,mm
2006,Cirigliano,2021-01-25,3.0,8.3,2.9,pioggia,mm
2007,Cirigliano,2021-01-26,0.3,8.1,1.3,neve,cm
2008,Cirigliano,2021-01-27,-0.5,4.5,0.0,pioggia,mm
2009,Cirigliano,2021-01-28,0.7,8.2,0.0,pioggia,mm
2010,Cirigliano,2021-01-29,4.4,12.6,0.0,pioggia,mm
2011,Cirigliano,2021-01-30,7.2,11.9,0.0,pioggia,mm
2012,Cirigliano,2021-01-31,5.0,9.2,8.9,pioggia,mm
2013,Cirigliano,2021-02-01,5.2,11.7,3.7,pioggia,mm
2014,Cirigliano,2021-02-02,5.7,10.6,8.2,pioggia,mm
2015,Cirigliano,2021-02-03,5.8,14.6,0.0,pioggia,mm
2016,Cirigliano,2021-02-04,7.2,16.4,0.0,pioggia,mm
2017,Cirigliano,2021-02-05,9.4,14.7,0.0,pioggia,mm
2018,Cirigliano,2021-02-06,9.0,17.2,0.0,pioggia,mm
2019,Cirigliano,2021-02-07,9.1,17.6,3.6,pioggia,mm
2020,Cirigliano,2021-02-08,6.4,11.1,4.4,pioggia,mm
2021,Cirigliano,2021-02-09,6.1,9.9,11.1,pioggia,mm
2022,Cirigliano,2021-02-10,6.3,14.9,14.1,pioggia,mm
2023,Cirigliano,2021-02-11,5.8,12.5,5.0,pioggia,mm
2024,Cirigliano,2021-02-12,1.8,5.9,0.0,pioggia,mm
2025,Cirigliano,2021-02-13,-1.4,2.6,9.2,neve,cm
2026,Cirigliano,2021-02-14,-5.2,-1.3,10.8,neve,cm
2027,Cirigliano,2021-02-15,-3.1,3.2,10.6,neve,cm
2028,Cirigliano,2021-02-16,-2.2,6.3,0.0,pioggia,mm
2029,Cirigliano,2021-02-17,4.7,9.3,0.0,pioggia,mm
2030,Cirigliano,2021-02-18,2.7,11.2,0.0,pioggia,mm
2031,Cirigliano,2021-02-19,4.1,11.3,0.0,pioggia,mm
2032,Cirigliano,2021-02-20,5.1,12.6,0.0,pioggia,mm
2033,Cirigliano,2021-02-21,5.4,10.9,0.0,pioggia,mm
2034,Cirigliano,2021-02-22,4.4,10.8,0.0,pioggia,mm
2035,Cirigliano,2021-02-23,5.0,13.3,0.0,pioggia,mm
2036,Cirigliano,2021-02-24,7.8,16.3,0.0,pioggia,mm
2037,Cirigliano,2021-02-25,7.4,15.9,0.0,pioggia,mm
2038,Cirigliano,2021-02-26,8.9,15.7,0.0,pioggia,mm
2039,Cirigliano,2021-02-27,8.0,16.0,0.0,pioggia,mm
2040,Cirigliano,2021-02-28,5.1,11.7,0.0,pioggia,mm
2041,Cirigliano,2021-03-01,4.5,11.8,0.0,pioggia,mm
2042,Cirigliano,2021-03-02,4.1,11.6,0.0,pioggia,mm
2043,Cirigliano,2021-03-03,4.4,13.9,0.0,pioggia,mm
