,Comune,Giorno,Tmin,Tmax,Prec,Tipo_Prec,Misura_Prec
2744,Filiano,2021-01-01,2.4,8.4,0.3,pioggia,mm
2745,Filiano,2021-01-02,3.7,10.1,11.8,pioggia,mm
2746,Filiano,2021-01-03,2.9,6.9,18.1,pioggia,mm
2747,Filiano,2021-01-04,1.8,7.7,0.2,pioggia,mm
2748,Filiano,2021-01-05,2.3,7.9,2.5,pioggia,mm
2749,Filiano,2021-01-06,4.4,8.3,24.9,pioggia,mm
2750,Filiano,2021-01-07,3.5,10.1,10.0,pioggia,mm
2751,Filiano,2021-01-08,3.7,6.3,9.4,pioggia,mm
2752,Filiano,2021-01-09,3.0,6.7,14.5,pioggia,mm
2753,Filiano,2021-01-10,2.8,5.9,39.4,pioggia,mm
2754,Filiano,2021-01-11,2.5,4.7,0.5,pioggia,mm
2755,Filiano,2021-01-12,0.3,5.1,1.5,pioggia,mm
2756,Filiano,2021-01-13,0.8,7.2,0.0,pioggia,mm
2757,Filiano,2021-01-14,-0.1,9.4,0.6,pioggia,mm
2758,Filiano,2021-01-15,-1.0,5.0,4.7,neve,cm
2759,Filiano,2021-01-16,-5.2,1.5,0.6,neve,cm
2760,Filiano,2021-01-17,-5.3,1.5,3.7,neve,cm
2761,Filiano,2021-01-18,-3.5,0.8,1.8,neve,cm
2762,Filiano,2021-01-19,-2.3,4.4,0.0,pioggia,mm
2763,Filiano,2021-01-20,2.8,7.8,0.0,pioggia,mm
2764,Filiano,2021-01-21,4.5,10.0,4.7,pioggia,mm
2765,Filiano,2021-01-22,7.2,10.9,0.0,pioggia,mm
2766,Filiano,2021-01-23,3.9,8.5,30.9,pioggia,mm
2767,Filiano,2021-01-24,5.1,8.4,26.2,pioggia,mm
2768,Filiano,2021-01-25,2.5,8.3,8.3,pioggia,mm
2769,Filiano,2021-01-26,-0.2,6.9,15.6,neve,cm
2770,Filiano,2021-01-27,-3.7,2.9,5.6,neve,cm
2771,Filiano,2021-01-28,-0.3,7.9,0.0,pioggia,mm
2772,Filiano,2021-01-29,4.1,10.3,0.8,pioggia,mm
2773,Filiano,2021-01-30,7.3,11.2,0.0,pioggia,mm
2774,Filiano,2021-01-31,4.8,9.0,15.3,pioggia,mm
2775,Filiano,2021-02-01,4.5,10.3,6.7,pioggia,mm
2776,Filiano,2021-02-02,4.8,10.6,5.8,pioggia,mm
2777,Filiano,2021-02-03,6.1,13.2,0.0,pioggia,mm
2778,Filiano,2021-02-04,8.4,15.2,0.0,pioggia,mm
2779,Filiano,2021-02-05,9.7,17.9,0.0,pioggia,mm
2780,Filiano,2021-02-06,10.7,18.5,0.0,pioggia,mm
2781,Filiano,2021-02-07,7.9,18.9,15.1,pioggia,mm
2782,Filiano,2021-02-08,6.0,9.3,4.5,pioggia,mm
2783,Filiano,2021-02-09,6.3,10.3,9.9,pioggia,mm
2784,Filiano,2021-02-10,6.0,12.4,29.7,pioggia,mm
2785,Filiano,2021-02-11,3.9,11.6,5.1,pioggia,mm
2786,Filiano,2021-02-12,1.0,5.3,0.3,pioggia,mm
2787,Filiano,2021-02-13,-4.2,1.2,19.4,neve,cm
2788,Filiano,2021-02-14,-8.3,-1.4,6.7,neve,cm
2789,Filiano,2021-02-15,-5.1,0.3,5.0,neve,cm
2790,Filiano,2021-02-16,-5.3,5.7,0.0,pioggia,mm
2791,Filiano,2021-02-17,-2.0,4.3,0.0,pioggia,mm
2792,Filiano,2021-02-18,1.4,10.2,0.0,pioggia,mm
2793,Filiano,2021-02-19,3.9,12.3,0.0,pioggia,mm
2794,Filiano,2021-02-20,4.5,12.5,0.0,pioggia,mm
2795,Filiano,2021-02-21,3.6,12.3,0.0,pioggia,mm
2796,Filiano,2021-02-22,3.9,12.4,0.0,pioggia,mm
2797,Filiano,2021-02-23,3.3,12.3,0.0,pioggia,mm
2798,Filiano,2021-02-24,3.6,14.1,0.0,pioggia,mm
2799,Filiano,2021-02-25,3.8,16.3,0.0,pioggia,mm
2800,Filiano,2021-02-26,5.5,16.5,0.0,pioggia,mm
2801,Filiano,2021-02-27,2.5,15.4,0.0,pioggia,mm
2802,Filiano,2021-02-28,0.4,9.2,0.0,pioggia,mm
