,Comune,Giorno,Tmin,Tmax,Prec,Tipo_Prec,Misura_Prec
3140,Pignola,2020-01-01,1.7,7.0,0.0,pioggia,mm
3141,Pignola,2020-01-02,1.3,6.0,0.0,pioggia,mm
3142,Pignola,2020-01-03,1.0,11.0,0.0,pioggia,mm
3143,Pignola,2020-01-04,3.0,8.0,0.0,pioggia,mm
3144,Pignola,2020-01-05,-1.0,6.0,1.0,pioggia,mm
3145,Pignola,2020-01-06,-2.7,0.0,0.3,pioggia,mm
3146,Pignola,2020-01-07,-3.0,6.0,0.0,pioggia,mm
3147,Pignola,2020-01-08,0.0,6.0,0.0,pioggia,mm
3148,Pignola,2020-01-09,0.0,10.0,0.0,pioggia,mm
3149,Pignola,2020-01-10,1.0,11.0,0.0,pioggia,mm
3150,Pignola,2020-01-11,-1.0,8.0,0.0,pioggia,mm
3151,Pignola,2020-01-12,2.4,7.0,0.0,pioggia,mm
3152,Pignola,2020-01-13,1.0,7.0,0.0,pioggia,mm
3153,Pignola,2020-01-14,1.0,9.0,0.0,pioggia,mm
3154,Pignola,2020-01-15,0.8,12.0,0.0,pioggia,mm
3155,Pignola,2020-01-16,1.0,11.0,0.0,pioggia,mm
3156,Pignola,2020-01-17,0.2,9.6,0.0,pioggia,mm
3157,Pignola,2020-01-18,1.1,6.8,0.3,pioggia,mm
3158,Pignola,2020-01-19,3.3,4.9,0.1,pioggia,mm
3159,Pignola,2020-01-20,0.9,5.4,0.7,pioggia,mm
3160,Pignola,2020-01-21,0.9,6.7,0.0,pioggia,mm
3161,Pignola,2020-01-22,1.2,11.0,0.0,pioggia,mm
3162,Pignola,2020-01-23,2.8,13.1,0.0,pioggia,mm
3163,Pignola,2020-01-24,1.3,14.6,0.0,pioggia,mm
3164,Pignola,2020-01-25,3.1,10.6,0.0,pioggia,mm
3165,Pignola,2020-01-26,4.4,9.8,8.8,pioggia,mm
3166,Pignola,2020-01-27,4.2,9.3,1.0,pioggia,mm
3167,Pignola,2020-01-28,4.1,8.1,0.9,pioggia,mm
3168,Pignola,2020-01-29,5.4,8.7,0.9,pioggia,mm
3169,Pignola,2020-01-30,5.2,10.8,0.0,pioggia,mm
3170,Pignola,2020-01-31,4.2,10.4,0.0,pioggia,mm
3171,Pignola,2020-02-01,5.0,11.5,0.0,pioggia,mm
3172,Pignola,2020-02-02,7.1,12.0,0.0,pioggia,mm
3173,Pignola,2020-02-03,7.3,13.1,0.0,pioggia,mm
3174,Pignola,2020-02-04,1.0,12.9,2.3,neve,cm
3175,Pignola,2020-02-05,-1.6,2.4,8.5,neve,cm
3176,Pignola,2020-02-06,-2.3,0.8,0.0,pioggia,mm
3177,Pignola,2020-02-07,-2.2,7.1,0.0,pioggia,mm
3178,Pignola,2020-02-08,0.1,10.6,0.0,pioggia,mm
3179,Pignola,2020-02-09,2.4,11.3,0.0,pioggia,mm
3180,Pignola,2020-02-10,3.7,9.4,0.0,pioggia,mm
3181,Pignola,2020-02-11,7.4,12.5,0.0,pioggia,mm
3182,Pignola,2020-02-12,7.8,11.7,0.0,pioggia,mm
3183,Pignola,2020-02-13,1.4,13.3,0.0,pioggia,mm
3184,Pignola,2020-02-14,3.8,8.1,8.4,pioggia,mm
3185,Pignola,2020-02-15,1.9,9.3,0.0,pioggia,mm
3186,Pignola,2020-02-16,-0.3,12.3,0.0,pioggia,mm
3187,Pignola,2020-02-17,3.0,14.1,0.0,pioggia,mm
3188,Pignola,2020-02-18,4.5,13.4,0.0,pioggia,mm
3189,Pignola,2020-02-19,4.0,9.6,7.4,pioggia,mm
3190,Pignola,2020-02-20,3.1,7.1,0.0,pioggia,mm
3191,Pignola,2020-02-21,-0.1,10.3,0.0,pioggia,mm
3192,Pignola,2020-02-22,-0.7,6.4,0.0,pioggia,mm
3193,Pignola,2020-02-23,2.7,14.1,0.0,pioggia,mm
3194,Pignola,2020-02-24,6.2,12.4,0.0,pioggia,mm
3195,Pignola,2020-02-25,7.2,13.8,0.0,pioggia,mm
3196,Pignola,2020-02-26,1.6,10.9,3.9,pioggia,mm
3197,Pignola,2020-02-27,1.1,5.7,1.5,neve,cm
3198,Pignola,2020-02-28,1.6,7.7,15.7,pioggia,mm
3199,Pignola,2020-02-29,-0.6,10.2,0.0,pioggia,mm
3200,Pignola,2020-03-01,5.7,13.2,1.2,pioggia,mm
3201,Pignola,2020-03-02,8.6,13.8,0.7,pioggia,mm
3202,Pignola,2020-03-03,2.2,9.4,13.0,pioggia,mm
3203,Pignola,2020-03-04,3.0,8.3,0.0,pioggia,mm
3204,Pignola,2020-03-05,1.9,12.0,0.0,pioggia,mm
3205,Pignola,2020-03-06,4.3,11.1,5.8,pioggia,mm
3206,Pignola,2020-03-07,2.5,6.7,13.8,pioggia,mm
3207,Pignola,2020-03-08,1.2,5.4,5.1,neve,cm
3208,Pignola,2020-03-09,0.8,8.3,0.0,pioggia,mm
3209,Pignola,2020-03-10,0.7,8.1,0.0,pioggia,mm
3210,Pignola,2020-03-11,1.9,13.6,0.0,pioggia,mm
3211,Pignola,2020-03-12,6.1,18.7,0.0,pioggia,mm
3212,Pignola,2020-03-13,8.5,17.9,0.0,pioggia,mm
3213,Pignola,2020-03-14,8.2,17.8,2.7,pioggia,mm
3214,Pignola,2020-03-15,1.6,8.6,0.0,pioggia,mm
3215,Pignola,2020-03-16,1.5,12.8,0.0,pioggia,mm
3216,Pignola,2020-03-17,1.5,15.4,0.0,pioggia,mm
3217,Pignola,2020-03-18,2.0,15.1,0.0,pioggia,mm
3218,Pignola,2020-03-19,3.0,15.6,0.0,pioggia,mm
3219,Pignola,2020-03-20,6.1,16.2,0.0,pioggia,mm
3220,Pignola,2020-03-21,6.8,17.6,0.0,pioggia,mm
3221,Pignola,2020-03-22,4.5,10.9,3.6,pioggia,mm
3222,Pignola,2020-03-23,-3.8,3.8,2.4,pioggia,mm
3223,Pignola,2020-03-24,-4.0,1.8,0.0,pioggia,mm
3224,Pignola,2020-03-25,-3.2,0.1,13.2,neve,cm
3225,Pignola,2020-03-26,0.5,6.9,43.0,neve,cm
3226,Pignola,2020-03-27,2.2,7.0,1.6,pioggia,mm
3227,Pignola,2020-03-28,0.0,7.6,0.0,pioggia,mm
3228,Pignola,2020-03-29,1.8,11.1,0.4,pioggia,mm
3229,Pignola,2020-03-30,4.0,12.8,0.0,pioggia,mm
3230,Pignola,2020-03-31,1.4,9.4,4.5,pioggia,mm
3231,Pignola,2020-04-01,-4.3,1.8,15.7,neve,cm
3232,Pignola,2020-04-02,-5.4,7.5,0.0,pioggia,mm
3233,Pignola,2020-04-03,0.7,8.8,0.7,pioggia,mm
3234,Pignola,2020-04-04,0.3,8.9,0.0,pioggia,mm
3235,Pignola,2020-04-05,1.6,10.3,0.0,pioggia,mm
3236,Pignola,2020-04-06,4.6,12.0,0.0,pioggia,mm
3237,Pignola,2020-04-07,5.4,14.6,0.0,pioggia,mm
3238,Pignola,2020-04-08,3.8,14.4,0.0,pioggia,mm
3239,Pignola,2020-04-09,5.6,17.1,0.0,pioggia,mm
3240,Pignola,2020-04-10,5.2,19.7,0.0,pioggia,mm
3241,Pignola,2020-04-11,8.0,21.0,0.0,pioggia,mm
3242,Pignola,2020-04-12,9.4,19.9,0.0,pioggia,mm
3243,Pignola,2020-04-13,8.1,19.5,0.0,pioggia,mm
3244,Pignola,2020-04-14,5.7,16.8,17.7,pioggia,mm
3245,Pignola,2020-04-15,1.9,12.4,2.7,pioggia,mm
3246,Pignola,2020-04-16,2.7,18.7,0.0,pioggia,mm
3247,Pignola,2020-04-17,7.1,20.8,0.0,pioggia,mm
3248,Pignola,2020-04-18,10.2,24.2,0.0,pioggia,mm
3249,Pignola,2020-04-19,14.4,24.5,1.4,pioggia,mm
3250,Pignola,2020-04-20,10.4,15.7,14.1,pioggia,mm
3251,Pignola,2020-04-21,8.4,14.7,6.0,pioggia,mm
3252,Pignola,2020-04-22,8.1,11.0,15.3,pioggia,mm
3253,Pignola,2020-04-23,4.8,8.9,12.5,pioggia,mm
3254,Pignola,2020-04-24,4.3,16.2,0.0,pioggia,mm
3255,Pignola,2020-04-25,6.3,17.4,0.0,pioggia,mm
3256,Pignola,2020-04-26,7.4,19.6,3.4,pioggia,mm
3257,Pignola,2020-04-27,7.3,16.9,0.5,pioggia,mm
3258,Pignola,2020-04-28,7.2,16.7,1.4,pioggia,mm
3259,Pignola,2020-04-29,8.2,15.8,0.0,pioggia,mm
3260,Pignola,2020-04-30,7.6,17.0,0.0,pioggia,mm
3261,Pignola,2020-05-01,8.4,16.6,0.0,pioggia,mm
3262,Pignola,2020-05-02,10.0,17.2,3.1,pioggia,mm
3263,Pignola,2020-05-03,8.3,18.6,2.0,pioggia,mm
3264,Pignola,2020-05-04,6.1,15.3,0.0,pioggia,mm
3265,Pignola,2020-05-05,8.2,19.2,0.0,pioggia,mm
3266,Pignola,2020-05-06,10.2,22.7,0.3,pioggia,mm
3267,Pignola,2020-05-07,5.0,14.9,0.9,pioggia,mm
3268,Pignola,2020-05-08,6.6,19.1,0.0,pioggia,mm
3269,Pignola,2020-05-09,10.5,22.7,0.0,pioggia,mm
3270,Pignola,2020-05-10,13.7,22.7,0.0,pioggia,mm
3271,Pignola,2020-05-11,11.1,23.1,0.6,pioggia,mm
3272,Pignola,2020-05-12,10.0,18.1,0.0,pioggia,mm
3273,Pignola,2020-05-13,11.8,27.1,0.0,pioggia,mm
3274,Pignola,2020-05-14,19.0,28.9,0.0,pioggia,mm
3275,Pignola,2020-05-15,20.1,26.3,0.0,pioggia,mm
3276,Pignola,2020-05-16,11.9,28.5,0.0,pioggia,mm
3277,Pignola,2020-05-17,18.0,28.6,0.0,pioggia,mm
3278,Pignola,2020-05-18,16.3,25.6,0.0,pioggia,mm
3279,Pignola,2020-05-19,11.9,22.2,28.2,pioggia,mm
3280,Pignola,2020-05-20,10.2,14.4,28.3,pioggia,mm
3281,Pignola,2020-05-21,10.2,15.3,11.2,pioggia,mm
3282,Pignola,2020-05-22,8.3,19.6,0.0,pioggia,mm
3283,Pignola,2020-05-23,11.2,22.5,0.0,pioggia,mm
3284,Pignola,2020-05-24,13.1,21.2,0.0,pioggia,mm
3285,Pignola,2020-05-25,11.6,19.7,0.0,pioggia,mm
3286,Pignola,2020-05-26,8.8,14.7,0.0,pioggia,mm
3287,Pignola,2020-05-27,7.0,15.1,0.0,pioggia,mm
3288,Pignola,2020-05-28,7.1,17.2,0.0,pioggia,mm
3289,Pignola,2020-05-29,8.5,15.9,4.1,pioggia,mm
3290,Pignola,2020-05-30,8.5,14.2,9.2,pioggia,mm
3291,Pignola,2020-05-31,7.8,15.9,3.2,pioggia,mm
3292,Pignola,2020-06-01,8.3,13.5,1.0,pioggia,mm
3293,Pignola,2020-06-02,8.4,18.1,0.0,pioggia,mm
3294,Pignola,2020-06-03,10.5,18.5,1.7,pioggia,mm
3295,Pignola,2020-06-04,11.1,20.1,0.0,pioggia,mm
3296,Pignola,2020-06-05,10.6,17.7,19.5,pioggia,mm
3297,Pignola,2020-06-06,10.0,18.7,3.6,pioggia,mm
3298,Pignola,2020-06-07,11.2,20.0,0.0,pioggia,mm
3299,Pignola,2020-06-08,13.7,21.0,6.8,pioggia,mm
3300,Pignola,2020-06-09,12.3,20.1,0.5,pioggia,mm
3301,Pignola,2020-06-10,10.1,15.8,1.9,pioggia,mm
3302,Pignola,2020-06-11,10.0,16.7,1.2,pioggia,mm
3303,Pignola,2020-06-12,9.5,20.4,0.0,pioggia,mm
