,Comune,Giorno,Tmin,Tmax,Prec,Tipo_Prec,Misura_Prec
3902,Potenza,2020-01-01,2.5,8.0,0.0,pioggia,mm
3903,Potenza,2020-01-02,2.2,7.0,0.0,pioggia,mm
3904,Potenza,2020-01-03,1.1,12.0,0.0,pioggia,mm
3905,Potenza,2020-01-04,3.6,9.0,0.0,pioggia,mm
3906,Potenza,2020-01-05,0.0,7.0,1.0,pioggia,mm
3907,Potenza,2020-01-06,-1.7,1.0,0.0,pioggia,mm
3908,Potenza,2020-01-07,-2.0,7.0,0.0,pioggia,mm
3909,Potenza,2020-01-08,0.8,7.0,0.0,pioggia,mm
3910,Potenza,2020-01-09,0.0,11.0,0.0,pioggia,mm
3911,Potenza,2020-01-10,1.1,12.0,0.0,pioggia,mm
3912,Potenza,2020-01-11,-1.0,9.0,0.0,pioggia,mm
3913,Potenza,2020-01-12,3.2,8.0,0.0,pioggia,mm
3914,Potenza,2020-01-13,1.5,8.0,0.0,pioggia,mm
3915,Potenza,2020-01-14,1.0,10.0,0.0,pioggia,mm
3916,Potenza,2020-01-15,1.8,13.0,0.0,pioggia,mm
3917,Potenza,2020-01-16,1.2,12.0,0.0,pioggia,mm
3918,Potenza,2020-01-17,0.4,11.0,0.0,pioggia,mm
3919,Potenza,2020-01-18,1.4,7.7,0.3,pioggia,mm
3920,Potenza,2020-01-19,2.8,6.3,0.0,pioggia,mm
3921,Potenza,2020-01-20,1.9,6.2,0.5,pioggia,mm
3922,Potenza,2020-01-21,0.3,7.5,0.0,pioggia,mm
3923,Potenza,2020-01-22,0.1,12.0,0.0,pioggia,mm
3924,Potenza,2020-01-23,2.1,14.0,0.0,pioggia,mm
3925,Potenza,2020-01-24,0.1,15.0,0.0,pioggia,mm
3926,Potenza,2020-01-25,3.2,11.6,0.0,pioggia,mm
3927,Potenza,2020-01-26,3.2,11.0,8.8,pioggia,mm
3928,Potenza,2020-01-27,3.9,10.5,1.0,pioggia,mm
3929,Potenza,2020-01-28,3.8,8.9,0.9,pioggia,mm
3930,Potenza,2020-01-29,5.0,10.0,0.9,pioggia,mm
3931,Potenza,2020-01-30,4.0,12.0,0.0,pioggia,mm
3932,Potenza,2020-01-31,3.9,11.0,0.0,pioggia,mm
3933,Potenza,2020-02-01,4.5,12.0,0.0,pioggia,mm
3934,Potenza,2020-02-02,6.9,13.6,0.0,pioggia,mm
3935,Potenza,2020-02-03,6.4,13.5,0.0,pioggia,mm
3936,Potenza,2020-02-04,1.0,13.0,3.6,neve,cm
3937,Potenza,2020-02-05,-1.2,4.0,7.3,neve,cm
3938,Potenza,2020-02-06,-2.0,2.0,0.0,pioggia,mm
3939,Potenza,2020-02-07,-1.5,9.0,0.0,pioggia,mm
3940,Potenza,2020-02-08,0.0,11.7,0.0,pioggia,mm
3941,Potenza,2020-02-09,1.6,12.1,0.0,pioggia,mm
3942,Potenza,2020-02-10,3.3,10.4,0.0,pioggia,mm
3943,Potenza,2020-02-11,7.1,13.5,0.0,pioggia,mm
3944,Potenza,2020-02-12,7.0,12.5,0.0,pioggia,mm
3945,Potenza,2020-02-13,2.0,14.5,0.0,pioggia,mm
3946,Potenza,2020-02-14,3.8,9.0,8.6,pioggia,mm
3947,Potenza,2020-02-15,2.2,11.0,0.0,pioggia,mm
3948,Potenza,2020-02-16,-0.7,14.0,0.0,pioggia,mm
3949,Potenza,2020-02-17,2.5,15.0,0.0,pioggia,mm
3950,Potenza,2020-02-18,3.7,15.5,0.0,pioggia,mm
3951,Potenza,2020-02-19,3.5,10.8,7.4,pioggia,mm
3952,Potenza,2020-02-20,2.7,8.0,0.5,pioggia,mm
3953,Potenza,2020-02-21,0.0,13.0,0.0,pioggia,mm
3954,Potenza,2020-02-22,-0.4,7.8,0.0,pioggia,mm
3955,Potenza,2020-02-23,1.8,15.0,0.0,pioggia,mm
3956,Potenza,2020-02-24,5.2,14.0,0.0,pioggia,mm
3957,Potenza,2020-02-25,5.6,14.0,0.0,pioggia,mm
3958,Potenza,2020-02-26,1.9,11.9,3.2,pioggia,mm
3959,Potenza,2020-02-27,1.2,7.7,1.5,neve,cm
3960,Potenza,2020-02-28,1.8,8.0,15.7,pioggia,mm
3961,Potenza,2020-02-29,0.0,11.6,0.0,pioggia,mm
3962,Potenza,2020-03-01,5.4,14.6,1.2,pioggia,mm
3963,Potenza,2020-03-02,8.4,14.8,0.7,pioggia,mm
3964,Potenza,2020-03-03,2.8,9.7,13.0,pioggia,mm
3965,Potenza,2020-03-04,3.0,10.3,0.0,pioggia,mm
3966,Potenza,2020-03-05,1.9,12.0,0.0,pioggia,mm
3967,Potenza,2020-03-06,4.5,12.4,4.2,pioggia,mm
3968,Potenza,2020-03-07,3.0,8.3,11.8,pioggia,mm
3969,Potenza,2020-03-08,2.0,7.0,6.5,pioggia,mm
3970,Potenza,2020-03-09,0.4,10.0,0.0,pioggia,mm
3971,Potenza,2020-03-10,1.7,9.6,0.0,pioggia,mm
3972,Potenza,2020-03-11,2.0,15.0,0.0,pioggia,mm
3973,Potenza,2020-03-12,6.1,19.0,0.0,pioggia,mm
3974,Potenza,2020-03-13,8.0,18.0,0.0,pioggia,mm
3975,Potenza,2020-03-14,7.5,18.9,2.7,pioggia,mm
3976,Potenza,2020-03-15,2.8,10.1,0.0,pioggia,mm
3977,Potenza,2020-03-16,1.2,14.0,0.0,pioggia,mm
3978,Potenza,2020-03-17,2.0,16.5,0.0,pioggia,mm
3979,Potenza,2020-03-18,1.8,16.0,0.0,pioggia,mm
3980,Potenza,2020-03-19,3.0,16.6,0.0,pioggia,mm
3981,Potenza,2020-03-20,5.6,17.2,0.0,pioggia,mm
3982,Potenza,2020-03-21,5.6,17.9,0.0,pioggia,mm
3983,Potenza,2020-03-22,4.9,12.7,3.6,pioggia,mm
3984,Potenza,2020-03-23,-3.7,5.1,1.2,pioggia,mm
3985,Potenza,2020-03-24,-3.3,2.0,0.0,pioggia,mm
3986,Potenza,2020-03-25,-2.9,0.5,11.5,neve,cm
3987,Potenza,2020-03-26,0.8,8.0,36.5,neve,cm
3988,Potenza,2020-03-27,3.3,9.0,1.6,pioggia,mm
3989,Potenza,2020-03-28,1.4,9.1,0.0,pioggia,mm
3990,Potenza,2020-03-29,2.0,12.0,0.9,pioggia,mm
3991,Potenza,2020-03-30,4.5,13.6,0.0,pioggia,mm
3992,Potenza,2020-03-31,1.7,9.9,4.5,pioggia,mm
3993,Potenza,2020-04-01,-4.4,1.8,9.5,neve,cm
3994,Potenza,2020-04-02,-5.0,8.0,0.0,pioggia,mm
3995,Potenza,2020-04-03,1.0,10.2,0.0,pioggia,mm
3996,Potenza,2020-04-04,2.0,10.6,0.0,pioggia,mm
3997,Potenza,2020-04-05,2.2,12.0,0.0,pioggia,mm
3998,Potenza,2020-04-06,4.4,13.0,0.0,pioggia,mm
3999,Potenza,2020-04-07,4.9,15.2,0.0,pioggia,mm
4000,Potenza,2020-04-08,4.6,15.0,0.0,pioggia,mm
4001,Potenza,2020-04-09,5.0,17.3,0.0,pioggia,mm
4002,Potenza,2020-04-10,4.0,20.0,0.0,pioggia,mm
4003,Potenza,2020-04-11,6.8,21.0,0.0,pioggia,mm
4004,Potenza,2020-04-12,8.0,20.1,0.0,pioggia,mm
4005,Potenza,2020-04-13,8.0,19.5,0.0,pioggia,mm
4006,Potenza,2020-04-14,6.7,17.0,17.3,pioggia,mm
4007,Potenza,2020-04-15,1.9,12.8,2.7,pioggia,mm
4008,Potenza,2020-04-16,2.5,18.9,0.0,pioggia,mm
4009,Potenza,2020-04-17,5.4,20.9,0.0,pioggia,mm
4010,Potenza,2020-04-18,8.6,24.5,0.0,pioggia,mm
4011,Potenza,2020-04-19,13.2,25.0,1.4,pioggia,mm
4012,Potenza,2020-04-20,11.0,14.9,13.8,pioggia,mm
4013,Potenza,2020-04-21,9.1,16.0,6.2,pioggia,mm
4014,Potenza,2020-04-22,9.0,12.0,15.3,pioggia,mm
4015,Potenza,2020-04-23,5.5,10.0,16.3,pioggia,mm
4016,Potenza,2020-04-24,4.1,16.8,0.0,pioggia,mm
4017,Potenza,2020-04-25,6.7,17.7,0.0,pioggia,mm
4018,Potenza,2020-04-26,7.1,20.0,0.0,pioggia,mm
4019,Potenza,2020-04-27,6.9,19.0,0.0,pioggia,mm
4020,Potenza,2020-04-28,6.8,17.2,1.4,pioggia,mm
4021,Potenza,2020-04-29,9.0,17.4,0.0,pioggia,mm
4022,Potenza,2020-04-30,7.8,18.0,0.0,pioggia,mm
4023,Potenza,2020-05-01,9.0,18.3,0.0,pioggia,mm
4024,Potenza,2020-05-02,11.0,19.1,3.1,pioggia,mm
4025,Potenza,2020-05-03,8.1,20.4,2.0,pioggia,mm
4026,Potenza,2020-05-04,6.8,17.0,0.0,pioggia,mm
4027,Potenza,2020-05-05,7.8,20.6,0.0,pioggia,mm
4028,Potenza,2020-05-06,11.2,24.0,0.0,pioggia,mm
4029,Potenza,2020-05-07,5.9,17.0,1.4,pioggia,mm
4030,Potenza,2020-05-08,6.9,21.0,0.0,pioggia,mm
4031,Potenza,2020-05-09,9.8,24.5,0.0,pioggia,mm
4032,Potenza,2020-05-10,12.1,23.0,0.0,pioggia,mm
4033,Potenza,2020-05-11,12.2,25.1,0.0,pioggia,mm
4034,Potenza,2020-05-12,10.8,20.2,0.0,pioggia,mm
4035,Potenza,2020-05-13,11.7,29.5,0.0,pioggia,mm
4036,Potenza,2020-05-14,18.2,30.5,0.0,pioggia,mm
4037,Potenza,2020-05-15,19.4,27.9,0.0,pioggia,mm
4038,Potenza,2020-05-16,12.7,30.0,0.0,pioggia,mm
4039,Potenza,2020-05-17,12.9,29.0,0.0,pioggia,mm
4040,Potenza,2020-05-18,15.1,27.1,0.0,pioggia,mm
4041,Potenza,2020-05-19,13.8,21.4,28.2,pioggia,mm
4042,Potenza,2020-05-20,10.9,17.1,27.2,pioggia,mm
