,Comune,Giorno,Tmin,Tmax,Prec,Tipo_Prec,Misura_Prec
4664,San Mauro Forte,2020-01-01,6.0,9.0,0.0,pioggia,mm
4665,San Mauro Forte,2020-01-02,6.0,8.0,0.0,pioggia,mm
4666,San Mauro Forte,2020-01-03,6.0,14.0,0.0,pioggia,mm
4667,San Mauro Forte,2020-01-04,7.0,11.0,0.0,pioggia,mm
4668,San Mauro Forte,2020-01-05,3.0,8.2,0.8,pioggia,mm
4669,San Mauro Forte,2020-01-06,2.0,5.0,0.0,pioggia,mm
4670,San Mauro Forte,2020-01-07,2.0,9.0,0.0,pioggia,mm
4671,San Mauro Forte,2020-01-08,3.7,9.0,0.0,pioggia,mm
4672,San Mauro Forte,2020-01-09,5.0,11.0,0.0,pioggia,mm
4673,San Mauro Forte,2020-01-10,6.0,12.0,0.0,pioggia,mm
4674,San Mauro Forte,2020-01-11,6.0,9.0,0.0,pioggia,mm
4675,San Mauro Forte,2020-01-12,6.0,10.0,0.0,pioggia,mm
4676,San Mauro Forte,2020-01-13,6.0,9.0,1.1,pioggia,mm
4677,San Mauro Forte,2020-01-14,6.0,11.0,0.0,pioggia,mm
4678,San Mauro Forte,2020-01-15,5.7,13.0,0.0,pioggia,mm
4679,San Mauro Forte,2020-01-16,4.9,12.0,0.0,pioggia,mm
4680,San Mauro Forte,2020-01-17,3.7,10.7,0.0,pioggia,mm
4681,San Mauro Forte,2020-01-18,3.8,11.8,1.3,pioggia,mm
4682,San Mauro Forte,2020-01-19,4.4,10.0,0.0,pioggia,mm
4683,San Mauro Forte,2020-01-20,5.3,9.8,0.2,pioggia,mm
4684,San Mauro Forte,2020-01-21,3.4,10.5,0.0,pioggia,mm
4685,San Mauro Forte,2020-01-22,3.0,11.4,0.0,pioggia,mm
4686,San Mauro Forte,2020-01-23,5.3,11.5,0.0,pioggia,mm
4687,San Mauro Forte,2020-01-24,5.0,12.2,0.0,pioggia,mm
4688,San Mauro Forte,2020-01-25,5.7,14.7,0.0,pioggia,mm
