,Comune,Giorno,Tmin,Tmax,Prec,Tipo_Prec,Misura_Prec
5792,Tricarico,2021-01-01,3.0,8.8,0.0,pioggia,mm
5793,Tricarico,2021-01-02,4.6,8.7,13.4,pioggia,mm
5794,Tricarico,2021-01-03,3.4,8.1,4.5,pioggia,mm
5795,Tricarico,2021-01-04,3.4,8.7,0.7,pioggia,mm
5796,Tricarico,2021-01-05,3.1,8.4,0.5,pioggia,mm
5797,Tricarico,2021-01-06,5.3,8.2,6.2,pioggia,mm
5798,Tricarico,2021-01-07,4.1,8.5,4.7,pioggia,mm
5799,Tricarico,2021-01-08,2.4,7.3,11.6,pioggia,mm
5800,Tricarico,2021-01-09,3.2,5.6,10.9,pioggia,mm
5801,Tricarico,2021-01-10,3.0,7.2,32.0,pioggia,mm
5802,Tricarico,2021-01-11,2.3,4.5,1.5,pioggia,mm
5803,Tricarico,2021-01-12,0.8,3.2,0.0,pioggia,mm
5804,Tricarico,2021-01-13,2.6,9.2,0.0,pioggia,mm
5805,Tricarico,2021-01-14,2.6,10.3,1.6,pioggia,mm
5806,Tricarico,2021-01-15,-1.0,3.0,6.6,neve,cm
5807,Tricarico,2021-01-16,-2.3,2.2,0.7,neve,cm
5808,Tricarico,2021-01-17,-2.6,2.3,2.0,neve,cm
5809,Tricarico,2021-01-18,-2.0,1.5,0.7,neve,cm
5810,Tricarico,2021-01-19,-0.3,7.1,0.2,pioggia,mm
5811,Tricarico,2021-01-20,4.0,11.7,0.0,pioggia,mm
5812,Tricarico,2021-01-21,5.1,10.4,3.3,pioggia,mm
5813,Tricarico,2021-01-22,8.4,11.4,0.6,pioggia,mm
5814,Tricarico,2021-01-23,3.8,9.9,8.4,pioggia,mm
5815,Tricarico,2021-01-24,5.2,10.0,6.5,pioggia,mm
5816,Tricarico,2021-01-25,2.5,9.0,1.1,pioggia,mm
5817,Tricarico,2021-01-26,-1.0,7.6,3.9,neve,cm
5818,Tricarico,2021-01-27,-1.2,4.1,0.5,neve,cm
5819,Tricarico,2021-01-28,0.1,8.8,0.0,pioggia,mm
5820,Tricarico,2021-01-29,7.0,13.7,1.5,pioggia,mm
5821,Tricarico,2021-01-30,7.6,14.8,0.0,pioggia,mm
5822,Tricarico,2021-01-31,5.5,10.1,4.6,pioggia,mm
5823,Tricarico,2021-02-01,5.0,11.3,4.0,pioggia,mm
5824,Tricarico,2021-02-02,6.3,10.2,8.3,pioggia,mm
5825,Tricarico,2021-02-03,6.2,15.3,0.0,pioggia,mm
5826,Tricarico,2021-02-04,8.9,16.6,0.0,pioggia,mm
5827,Tricarico,2021-02-05,7.9,16.2,0.0,pioggia,mm
5828,Tricarico,2021-02-06,12.0,17.8,0.0,pioggia,mm
5829,Tricarico,2021-02-07,6.4,21.0,3.3,pioggia,mm
5830,Tricarico,2021-02-08,6.8,11.2,4.1,pioggia,mm
5831,Tricarico,2021-02-09,5.9,10.5,6.4,pioggia,mm
5832,Tricarico,2021-02-10,7.9,14.3,10.7,pioggia,mm
