,Comune,Giorno,Tmin,Tmax,Prec,Tipo_Prec,Misura_Prec
6554,Trivigno,2021-01-01,2.2,9.2,0.3,pioggia,mm
6555,Trivigno,2021-01-02,3.4,8.6,9.6,pioggia,mm
6556,Trivigno,2021-01-03,3.0,7.0,9.3,pioggia,mm
6557,Trivigno,2021-01-04,1.9,9.3,4.1,pioggia,mm
6558,Trivigno,2021-01-05,2.3,7.6,2.1,pioggia,mm
6559,Trivigno,2021-01-06,3.9,9.7,13.3,pioggia,mm
6560,Trivigno,2021-01-07,4.1,8.6,7.2,pioggia,mm
6561,Trivigno,2021-01-08,2.7,12.2,10.3,pioggia,mm
6562,Trivigno,2021-01-09,2.9,5.4,12.5,pioggia,mm
6563,Trivigno,2021-01-10,3.0,11.5,29.7,pioggia,mm
6564,Trivigno,2021-01-11,2.5,5.0,2.1,pioggia,mm
6565,Trivigno,2021-01-12,1.4,2.9,0.0,pioggia,mm
6566,Trivigno,2021-01-13,1.6,9.0,0.0,pioggia,mm
6567,Trivigno,2021-01-14,0.1,9.8,0.0,pioggia,mm
6568,Trivigno,2021-01-15,-1.9,2.7,3.1,neve,cm
6569,Trivigno,2021-01-16,-2.5,1.5,1.3,neve,cm
6570,Trivigno,2021-01-17,-5.6,2.6,4.6,neve,cm
6571,Trivigno,2021-01-18,-3.2,1.1,3.1,neve,cm
6572,Trivigno,2021-01-19,-3.0,6.6,0.0,pioggia,mm
6573,Trivigno,2021-01-20,1.9,11.1,0.0,pioggia,mm
6574,Trivigno,2021-01-21,5.3,11.2,2.7,pioggia,mm
6575,Trivigno,2021-01-22,7.5,9.8,0.3,pioggia,mm
6576,Trivigno,2021-01-23,3.4,9.2,10.0,pioggia,mm
6577,Trivigno,2021-01-24,4.5,8.6,18.1,pioggia,mm
6578,Trivigno,2021-01-25,2.4,8.0,2.7,pioggia,mm
6579,Trivigno,2021-01-26,-1.8,6.8,5.5,neve,cm
6580,Trivigno,2021-01-27,-1.6,5.3,1.3,neve,cm
6581,Trivigno,2021-01-28,-2.2,9.6,0.0,pioggia,mm
6582,Trivigno,2021-01-29,3.7,13.2,0.5,pioggia,mm
6583,Trivigno,2021-01-30,6.9,14.7,0.0,pioggia,mm
6584,Trivigno,2021-01-31,5.0,9.7,8.4,pioggia,mm
6585,Trivigno,2021-02-01,4.5,11.2,4.3,pioggia,mm
6586,Trivigno,2021-02-02,4.7,9.8,6.2,pioggia,mm
6587,Trivigno,2021-02-03,2.8,15.2,0.0,pioggia,mm
6588,Trivigno,2021-02-04,7.9,17.5,0.0,pioggia,mm
6589,Trivigno,2021-02-05,7.7,18.9,0.0,pioggia,mm
6590,Trivigno,2021-02-06,11.4,19.8,0.0,pioggia,mm
6591,Trivigno,2021-02-07,8.3,19.5,7.7,pioggia,mm
6592,Trivigno,2021-02-08,6.6,10.5,7.3,pioggia,mm
6593,Trivigno,2021-02-09,4.6,9.5,11.1,pioggia,mm
6594,Trivigno,2021-02-10,6.5,12.9,21.2,pioggia,mm
6595,Trivigno,2021-02-11,4.6,12.7,2.7,pioggia,mm
6596,Trivigno,2021-02-12,1.2,5.5,0.2,pioggia,mm
6597,Trivigno,2021-02-13,-4.7,1.7,15.6,neve,cm
6598,Trivigno,2021-02-14,-5.9,-2.8,14.4,neve,cm
6599,Trivigno,2021-02-15,-4.6,-0.2,21.6,neve,cm
6600,Trivigno,2021-02-16,-4.9,5.4,0.0,pioggia,mm
6601,Trivigno,2021-02-17,-1.1,8.5,0.0,pioggia,mm
6602,Trivigno,2021-02-18,1.7,10.6,0.0,pioggia,mm
6603,Trivigno,2021-02-19,1.5,12.3,0.0,pioggia,mm
6604,Trivigno,2021-02-20,4.4,13.6,0.0,pioggia,mm
