	med2020	std2020	med2021	std2021	Tstat	Pval
Jan	6.262903225806452	1.8925717838405094	4.79032258064516	2.555237084722235	2.5138971275772946	0.0175390041581148
Feb	8.35	3.3304709932736296	7.521428571428572	4.422280050670791	0.7298431496536161	0.4717711896584651
Mar	7.835483870967741	3.7911782150229385	6.3435483870967735	3.3989886225043437	1.881243266345237	0.06967552062938549
Apr	11.28	4.281628758730281	9.01	4.263708115778064	2.0271061527344174	0.051931798931971807
May	16.703225806451616	4.040605059556282	16.061290322580643	2.51434914299968	0.7327923830535837	0.46937242131012524
Jun	19.215	3.217949389885128	22.789999999999996	5.159547561025361	-5.090460217620478	1.9726378891917384e-05
Jul	23.5	2.7714617081965973	25.996774193548386	3.783889874275566	-3.9710613779107065	0.00041342978574758217
Aug	24.580645161290324	2.7248754534031714	25.62903225806452	4.1630472451788725	-1.1607504363492775	0.25489698373898617
Sep	20.716666666666676	2.979682155386114	20.413333333333334	2.4872063449377992	0.3971038773640806	0.6941984403209125
Oct	14.887096774193546	2.8734116697152734	12.937096774193547	3.2843052979774243	3.7058468628471126	0.0008510675193652006
