	med2020	std2020	med2021	std2021	Tstat	Pval
Jan	6.183870967741936	2.0986260226147246	4.8419354838709685	2.4443505195379798	2.232792698660839	0.03317470441465004
Feb	8.158928571428573	3.075050543740842	7.871428571428569	5.067240986664363	0.23576390623153637	0.8153950927469229
Mar	8.020967741935483	4.093201155443589	6.809677419354838	3.319824778379092	1.3433850770600704	0.18922174946521117
Apr	11.280000000000003	4.490000383995069	9.903333333333332	4.386046317453861	1.1831580260021646	0.24635547966133653
May	16.675806451612903	3.9733460074128524	16.37741935483871	3.0041593030795775	0.3454223288648872	0.7321873043434567
Jun	18.51	3.0346675100497786	22.186666666666664	4.740924784901354	-5.6147592330984315	4.604691738228014e-06
Jul	23.05483870967742	2.9957290386679305	25.049999999999997	3.4732789503100197	-3.436722845650252	0.0017461492388288077
Aug	23.959677419354843	2.546907253737322	25.648387096774194	3.901121289043441	-2.0252208380713	0.0518224704245405
Sep	20.081666666666663	3.101486944091143	20.820000000000004	2.1672563300172873	-0.9434755269433794	0.3532321076610113
Oct	14.098387096774195	2.8689569495715026	13.161290322580648	3.3781086838007286	2.0184987191729022	0.05255681901632737
