	med2020	std2020	med2021	std2021	Tstat	Pval
Jan	6.638709677419354	2.101059640491727	5.4887096774193544	2.4872913539772323	1.9125864927289042	0.06539032247833071
Feb	9.346428571428572	3.158554772988472	8.167857142857143	4.147025133793798	1.1344893697450233	0.266561441776713
Mar	8.793548387096775	3.633197442462215	7.169354838709676	3.1050141550765606	2.063113701726751	0.04784932090142539
Apr	12.131666666666668	4.00332799773779	9.776666666666666	4.133561821641638	2.1897526241761165	0.03673523396990834
May	17.512903225806447	3.7670051708206147	16.76290322580645	2.4462204773192284	0.9187809661572192	0.3655387128020853
Jun	20.14333333333333	3.268758420133767	23.654999999999998	5.157624921180893	-5.090561679383513	1.9720815932321695e-05
Jul	24.50967741935484	2.622162572980513	26.990322580645167	3.7540293764353767	-4.263697864662824	0.00018414635372801614
Aug	25.596774193548388	2.4841475896797736	26.56129032258065	4.064761363996238	-1.1011644034465602	0.2795820625410248
Sep	21.8	3.074589964251471	21.35666666666667	2.463237753422324	0.5836634839145037	0.5639591803531196
Oct	15.651612903225805	2.783028442511495	13.93548387096774	3.1250384943865654	3.376291141879006	0.002047261899047785
