	med2020	std2020	med2021	std2021	Tstat	Pval
Jan	5.058064516129033	2.07774303729606	3.6999999999999997	2.7662549894517436	2.225619941197179	0.033702214769942715
Feb	6.437500000000001	2.8957384077167476	7.153571428571428	5.282324273977293	-0.564482430524525	0.5770857544666645
Mar	6.75	3.827270567911289	5.462903225806452	3.572206781573903	1.4028884879911079	0.17091521657308484
Apr	10.463333333333335	4.406792040924329	8.776666666666667	4.413824937026008	1.4259591492327957	0.16455672011045966
May	15.362903225806452	3.9455664515574846	14.508064516129032	3.0076318694889497	0.926267725777347	0.3616988970833792
Jun	17.04	3.3694469002780116	21.069999999999997	4.477483899353019	-6.970820502998899	1.1561270432967093e-07
Jul	22.491935483870964	3.0379844407708205	23.28064516129032	3.8147887101680755	-1.298568987120673	0.2039856272569002
Aug	22.879032258064516	3.0631621513709315	23.99032258064516	3.2360062668573106	-1.4510825233026594	0.15713407726568163
Sep	19.27166666666667	3.6460342965959636	19.383333333333333	2.0035026799347557	-0.13436223776858386	0.8940443179436204
Oct	12.766129032258062	2.865844468237771	11.641935483870967	3.4799208988661783	2.3704932620496377	0.02438885772110546
