	med2020	std2020	med2021	std2021	Tstat	Pval
Jan	5.598387096774192	1.8456473060947	4.288709677419354	2.555833513012254	2.30892051799073	0.028016997522244902
Feb	6.8999999999999995	2.6153747695474134	7.457142857142857	4.733132121813174	-0.47946206016700155	0.6354708649686085
Mar	7.374193548387099	3.620379146068865	6.412903225806452	3.159930583149348	1.148989451191139	0.2596389605324075
Apr	10.743333333333332	4.125775440872388	9.451666666666666	3.826168591679413	1.240857977653779	0.22460297346174152
May	16.0741935483871	3.5856861493011802	15.45	2.3643533294892003	0.8149142011830126	0.4215439022129783
Jun	17.676666666666666	3.0614323144717654	20.598333333333336	4.504566329414181	-5.394184277769351	8.484452898284233e-06
Jul	22.41935483870967	2.6992800712830456	23.49193548387096	3.5130256848428525	-2.0200396556096876	0.05238767898775075
Aug	23.166129032258063	2.4815783652336467	24.438709677419364	3.079413084702434	-1.8506393537169572	0.07409114855868783
Sep	19.759999999999998	3.3851959653966754	19.69833333333333	2.0153498598187025	0.07876053660012106	0.9377640544543805
Oct	13.29516129032258	2.6736789522650146	12.667741935483873	3.234747501405552	1.3977423211169469	0.17244135675322875
