	med2020	std2020	med2021	std2021	Tstat	Pval
Jan	6.390322580645161	1.7653337434622531	5.272580645161289	2.957246430653506	1.832496902341083	0.07682062093088544
Feb	8.239285714285714	3.1257993686610304	8.36607142857143	4.794268444782262	-0.11432667235919398	0.9098247812331633
Mar	8.591935483870968	3.890910278546516	7.229032258064517	3.639958200161745	1.5418244848124465	0.13359973185324128
Apr	12.136666666666665	3.934111066690603	9.598333333333333	4.188911539416591	2.4110171553682984	0.02247023205515067
May	16.879032258064516	3.340652984910495	16.651612903225804	2.5855845203411847	0.29015842919053797	0.773691282874171
Jun	19.541666666666664	3.35109563486675	23.033333333333324	4.74720123232941	-5.168787973659637	1.5866930139660213e-05
Jul	23.764516129032256	3.3596426781327775	26.34838709677419	3.480217518847726	-3.6980797283013835	0.0008690897581619383
Aug	25.09677419354839	3.0492604426830816	26.153225806451616	3.8116692643309387	-1.2179279110243204	0.23274405740156334
Sep	20.935000000000006	3.2611651715088077	20.871666666666666	2.435147922057067	0.08038167062546535	0.9364858697347336
Oct	14.72258064516129	2.828039329926814	13.479032258064517	3.564402104924667	2.3694149397318216	0.024448536652108496
