	med2020	std2020	med2021	std2021	Tstat	Pval
Jan	5.987096774193547	2.0222086828488415	4.859677419354839	2.98645328538828	1.6510213206288118	0.10916584927675378
Feb	8.064285714285713	2.720663628971906	7.405357142857142	4.884126581111249	0.5950499882919097	0.5567648018976168
Mar	8.143548387096775	3.8622908127924087	6.074193548387096	3.357575289990828	2.423374193540185	0.02162002339158985
Apr	11.238333333333337	4.2931919508026635	8.913333333333332	4.085063907264706	2.124462084265046	0.04227988276677815
May	16.77741935483871	3.6686018842259562	15.225806451612904	2.561831082375194	1.8708073664290823	0.07115507026805931
Jun	18.62166666666667	3.003408504296104	20.835	4.545292183620626	-3.7321592560036456	0.0008235923797144428
Jul	22.33709677419355	2.8138635284940965	23.848387096774196	3.5695584197247645	-2.337999299573627	0.02624659322864674
Aug	23.548387096774196	2.9141174727799313	24.127419354838697	3.632282081320168	-0.6643300338071896	0.5115533719239489
Sep	19.755000000000006	3.121652690041188	18.94166666666667	2.495205172039909	0.9852880910051394	0.3326321799813664
Oct	13.837096774193547	3.1321177005857526	12.154838709677422	3.4135112625835795	3.2699127536735206	0.002702750288920878
